modelo,fpr,tpr
Regresión logística,0.0,0.0
Regresión logística,4.7628119641836543e-05,0.0
Regresión logística,4.7628119641836543e-05,0.0006648936170212766
Regresión logística,9.525623928367309e-05,0.0006648936170212766
Regresión logística,9.525623928367309e-05,0.0013297872340425532
Regresión logística,0.00014288435892550962,0.0013297872340425532
Regresión logística,0.00014288435892550962,0.0026595744680851063
Regresión logística,0.00019051247856734617,0.0026595744680851063
Regresión logística,0.00019051247856734617,0.005984042553191489
Regresión logística,0.0003333968374928558,0.005984042553191489
Regresión logística,0.0003333968374928558,0.007313829787234043
Regresión logística,0.00038102495713469235,0.007313829787234043
Regresión logística,0.00038102495713469235,0.010638297872340425
Regresión logística,0.0005239093160602019,0.010638297872340425
Regresión logística,0.0005239093160602019,0.012632978723404254
Regresión logística,0.0005715374357020385,0.012632978723404254
Regresión logística,0.0005715374357020385,0.015292553191489361
Regresión logística,0.000619165555343875,0.015292553191489361
Regresión logística,0.000619165555343875,0.017287234042553192
Regresión logística,0.0006667936749857116,0.017287234042553192
Regresión logística,0.0006667936749857116,0.02526595744680851
Regresión logística,0.0007144217946275481,0.02526595744680851
Regresión logística,0.0007144217946275481,0.030585106382978722
Regresión logística,0.0007620499142693847,0.030585106382978722
Regresión logística,0.0007620499142693847,0.032579787234042555
Regresión logística,0.0009049342731948943,0.032579787234042555
Regresión logística,0.0009049342731948943,0.0339095744680851
Regresión logística,0.0010001905124785674,0.0339095744680851
Regresión logística,0.0010001905124785674,0.034574468085106384
Regresión logística,0.001143074871404077,0.034574468085106384
Regresión logística,0.001143074871404077,0.03590425531914894
Regresión logística,0.0011907029910459136,0.03590425531914894
Regresión logística,0.0011907029910459136,0.036569148936170214
Regresión logística,0.00123833111068775,0.036569148936170214
Regresión logística,0.00123833111068775,0.041223404255319146
Regresión logística,0.0013812154696132596,0.041223404255319146
Regresión logística,0.0013812154696132596,0.04654255319148936
Regresión logística,0.0014288435892550963,0.04654255319148936
Regresión logística,0.0014288435892550963,0.047872340425531915
Regresión logística,0.0014764717088969327,0.047872340425531915
Regresión logística,0.0014764717088969327,0.04853723404255319
Regresión logística,0.0015717279481806058,0.04853723404255319
Regresión logística,0.0015717279481806058,0.05452127659574468
Regresión logística,0.0016193560678224423,0.05452127659574468
Regresión logística,0.0016193560678224423,0.05518617021276596
Regresión logística,0.001666984187464279,0.05518617021276596
Regresión logística,0.001666984187464279,0.057180851063829786
Regresión logística,0.0017146123071061154,0.057180851063829786
Regresión logística,0.0017146123071061154,0.05851063829787234
Regresión logística,0.0018098685463897885,0.05851063829787234
Regresión logística,0.0018098685463897885,0.0598404255319149
Regresión logística,0.001857496666031625,0.0598404255319149
Regresión logística,0.001857496666031625,0.061835106382978726
Regresión logística,0.0019051247856734616,0.061835106382978726
Regresión logística,0.0019051247856734616,0.0625
Regresión logística,0.0020003810249571347,0.0625
Regresión logística,0.0020003810249571347,0.06382978723404255
Regresión logística,0.002048009144598971,0.06382978723404255
Regresión logística,0.002048009144598971,0.06715425531914894
Regresión logística,0.0020956372642408076,0.06715425531914894
Regresión logística,0.0020956372642408076,0.06914893617021277
Regresión logística,0.0021432653838826445,0.06914893617021277
Regresión logística,0.0021432653838826445,0.06981382978723404
Regresión logística,0.002190893503524481,0.06981382978723404
Regresión logística,0.002190893503524481,0.07047872340425532
Regresión logística,0.0022385216231663174,0.07047872340425532
Regresión logística,0.0022385216231663174,0.0711436170212766
Regresión logística,0.0023337778624499903,0.0711436170212766
Regresión logística,0.0023337778624499903,0.07180851063829788
Regresión logística,0.002381405982091827,0.07180851063829788
Regresión logística,0.002381405982091827,0.07247340425531915
Regresión logística,0.0024766622213755,0.07247340425531915
Regresión logística,0.0024766622213755,0.07446808510638298
Regresión logística,0.0025242903410173365,0.07446808510638298
Regresión logística,0.0025242903410173365,0.07513297872340426
Regresión logística,0.002571918460659173,0.07513297872340426
Regresión logística,0.002571918460659173,0.07579787234042554
Regresión logística,0.00261954658030101,0.07579787234042554
Regresión logística,0.00261954658030101,0.07779255319148937
Regresión logística,0.0026671746999428463,0.07779255319148937
Regresión logística,0.0026671746999428463,0.07845744680851063
Regresión logística,0.0027148028195846828,0.07845744680851063
Regresión logística,0.0027148028195846828,0.08178191489361702
Regresión logística,0.0027624309392265192,0.08178191489361702
Regresión logística,0.0027624309392265192,0.08444148936170212
Regresión logística,0.0028100590588683557,0.08444148936170212
Regresión logística,0.0028100590588683557,0.0851063829787234
Regresión logística,0.0028576871785101926,0.0851063829787234
Regresión logística,0.0028576871785101926,0.08577127659574468
Regresión logística,0.0029529434177938655,0.08577127659574468
Regresión logística,0.0029529434177938655,0.08643617021276596
Regresión logística,0.003000571537435702,0.08643617021276596
Regresión logística,0.003000571537435702,0.08776595744680851
Regresión logística,0.0031434558963612117,0.08776595744680851
Regresión logística,0.0031434558963612117,0.0884308510638298
Regresión logística,0.003191084016003048,0.0884308510638298
Regresión logística,0.003191084016003048,0.09242021276595745
Regresión logística,0.0032863402552867215,0.09242021276595745
Regresión logística,0.0032863402552867215,0.09308510638297872
Regresión logística,0.003333968374928558,0.09308510638297872
Regresión logística,0.003333968374928558,0.09375
Regresión logística,0.0033815964945703944,0.09375
Regresión logística,0.0033815964945703944,0.09507978723404255
Regresión logística,0.003524480853495904,0.09507978723404255
Regresión logística,0.003524480853495904,0.09773936170212766
Regresión logística,0.003762621451705087,0.09773936170212766
Regresión logística,0.003762621451705087,0.09840425531914894
Regresión logística,0.0038102495713469233,0.09840425531914894
Regresión logística,0.0038102495713469233,0.09973404255319149
Regresión logística,0.0038578776909887597,0.09973404255319149
Regresión logística,0.0038578776909887597,0.10039893617021277
Regresión logística,0.003905505810630596,0.10039893617021277
Regresión logística,0.003905505810630596,0.10106382978723404
Regresión logística,0.0040007620499142695,0.10106382978723404
Regresión logística,0.0040007620499142695,0.10438829787234043
Regresión logística,0.004048390169556106,0.10438829787234043
Regresión logística,0.004048390169556106,0.10505319148936171
Regresión logística,0.004191274528481615,0.10505319148936171
Regresión logística,0.004191274528481615,0.10704787234042554
Regresión logística,0.004238902648123452,0.10704787234042554
Regresión logística,0.004238902648123452,0.10837765957446809
Regresión logística,0.0043341588874071255,0.10837765957446809
Regresión logística,0.0043341588874071255,0.10970744680851063
Regresión logística,0.004381787007048962,0.10970744680851063
Regresión logística,0.004381787007048962,0.11037234042553191
Regresión logística,0.004477043246332635,0.11037234042553191
Regresión logística,0.004477043246332635,0.1110372340425532
Regresión logística,0.004524671365974471,0.1110372340425532
Regresión logística,0.004524671365974471,0.11236702127659574
Regresión logística,0.004619927605258144,0.11236702127659574
Regresión logística,0.004619927605258144,0.11303191489361702
Regresión logística,0.004667555724899981,0.11303191489361702
Regresión logística,0.004667555724899981,0.11369680851063829
Regresión logística,0.004715183844541817,0.11369680851063829
Regresión logística,0.004715183844541817,0.11502659574468085
Regresión logística,0.004810440083825491,0.11502659574468085
Regresión logística,0.004810440083825491,0.11569148936170212
Regresión logística,0.004858068203467327,0.11569148936170212
Regresión logística,0.004858068203467327,0.1163563829787234
Regresión logística,0.004905696323109164,0.1163563829787234
Regresión logística,0.004905696323109164,0.11702127659574468
Regresión logística,0.005000952562392837,0.11702127659574468
Regresión logística,0.005000952562392837,0.11835106382978723
Regresión logística,0.005048580682034673,0.11835106382978723
Regresión logística,0.005048580682034673,0.12034574468085106
Regresión logística,0.005191465040960183,0.12034574468085106
Regresión logística,0.005191465040960183,0.12167553191489362
Regresión logística,0.00523909316060202,0.12167553191489362
Regresión logística,0.00523909316060202,0.12234042553191489
Regresión logística,0.005381977519527529,0.12234042553191489
Regresión logística,0.005381977519527529,0.12367021276595745
Regresión logística,0.005572489998094875,0.12367021276595745
Regresión logística,0.005572489998094875,0.125
Regresión logística,0.005667746237378549,0.125
Regresión logística,0.005667746237378549,0.12699468085106383
Regresión logística,0.0057630024766622216,0.12699468085106383
Regresión logística,0.0057630024766622216,0.1276595744680851
Regresión logística,0.005810630596304058,0.1276595744680851
Regresión logística,0.005810630596304058,0.12965425531914893
Regresión logística,0.005953514955229567,0.12965425531914893
Regresión logística,0.005953514955229567,0.13364361702127658
Regresión logística,0.006001143074871404,0.13364361702127658
Regresión logística,0.006001143074871404,0.13430851063829788
Regresión logística,0.00604877119451324,0.13430851063829788
Regresión logística,0.00604877119451324,0.13497340425531915
Regresión logística,0.0060963993141550776,0.13497340425531915
Regresión logística,0.0060963993141550776,0.14428191489361702
Regresión logística,0.0061916555534387505,0.14428191489361702
Regresión logística,0.0061916555534387505,0.1449468085106383
Regresión logística,0.006239283673080587,0.1449468085106383
Regresión logística,0.006239283673080587,0.14627659574468085
Regresión logística,0.006382168032006096,0.14627659574468085
Regresión logística,0.006382168032006096,0.14694148936170212
Regresión logística,0.006429796151647933,0.14694148936170212
Regresión logística,0.006429796151647933,0.14893617021276595
Regresión logística,0.006477424271289769,0.14893617021276595
Regresión logística,0.006477424271289769,0.15159574468085107
Regresión logística,0.006525052390931606,0.15159574468085107
Regresión logística,0.006525052390931606,0.15226063829787234
Regresión logística,0.006572680510573443,0.15226063829787234
Regresión logística,0.006572680510573443,0.15425531914893617
Regresión logística,0.006620308630215279,0.15425531914893617
Regresión logística,0.006620308630215279,0.15492021276595744
Regresión logística,0.006763192989140789,0.15492021276595744
Regresión logística,0.006763192989140789,0.15558510638297873
Regresión logística,0.006858449228424462,0.15558510638297873
Regresión logística,0.006858449228424462,0.15691489361702127
Regresión logística,0.007001333587349972,0.15691489361702127
Regresión logística,0.007001333587349972,0.1589095744680851
Regresión logística,0.007048961706991808,0.1589095744680851
Regresión logística,0.007048961706991808,0.1595744680851064
Regresión logística,0.007191846065917318,0.1595744680851064
Regresión logística,0.007191846065917318,0.16023936170212766
Regresión logística,0.007239474185559154,0.16023936170212766
Regresión logística,0.007239474185559154,0.16090425531914893
Regresión logística,0.007334730424842827,0.16090425531914893
Regresión logística,0.007334730424842827,0.1622340425531915
Regresión logística,0.007382358544484663,0.1622340425531915
Regresión logística,0.007382358544484663,0.16356382978723405
Regresión logística,0.0074299866641265,0.16356382978723405
Regresión logística,0.0074299866641265,0.16422872340425532
Regresión logística,0.007477614783768337,0.16422872340425532
Regresión logística,0.007477614783768337,0.16555851063829788
Regresión logística,0.007525242903410174,0.16555851063829788
Regresión logística,0.007525242903410174,0.16622340425531915
Regresión logística,0.00757287102305201,0.16622340425531915
Regresión logística,0.00757287102305201,0.1675531914893617
Regresión logística,0.007668127262335683,0.1675531914893617
Regresión logística,0.007668127262335683,0.16821808510638298
Regresión logística,0.007715755381977519,0.16821808510638298
